"activity","subjectId","tBodyAcc_mean_X","tBodyAcc_mean_Y","tBodyAcc_mean_Z","tGravityAcc_mean_X","tGravityAcc_mean_Y","tGravityAcc_mean_Z","tBodyAccJerk_mean_X","tBodyAccJerk_mean_Y","tBodyAccJerk_mean_Z","tBodyGyro_mean_X","tBodyGyro_mean_Y","tBodyGyro_mean_Z","tBodyGyroJerk_mean_X","tBodyGyroJerk_mean_Y","tBodyGyroJerk_mean_Z","tBodyAccMag_mean","tGravityAccMag_mean","tBodyAccJerkMag_mean","tBodyGyroMag_mean","tBodyGyroJerkMag_mean","fBodyAcc_mean_X","fBodyAcc_mean_Y","fBodyAcc_mean_Z","fBodyAcc_meanFreq_X","fBodyAcc_meanFreq_Y","fBodyAcc_meanFreq_Z","fBodyAccJerk_mean_X","fBodyAccJerk_mean_Y","fBodyAccJerk_mean_Z","fBodyAccJerk_meanFreq_X","fBodyAccJerk_meanFreq_Y","fBodyAccJerk_meanFreq_Z","fBodyGyro_mean_X","fBodyGyro_mean_Y","fBodyGyro_mean_Z","fBodyGyro_meanFreq_X","fBodyGyro_meanFreq_Y","fBodyGyro_meanFreq_Z","fBodyAccMag_mean","fBodyAccMag_meanFreq","fBodyBodyAccJerkMag_mean","fBodyBodyAccJerkMag_meanFreq","fBodyBodyGyroMag_mean","fBodyBodyGyroMag_meanFreq","fBodyBodyGyroJerkMag_mean","fBodyBodyGyroJerkMag_meanFreq","tBodyAcc_std_X","tBodyAcc_std_Y","tBodyAcc_std_Z","tGravityAcc_std_X","tGravityAcc_std_Y","tGravityAcc_std_Z","tBodyAccJerk_std_X","tBodyAccJerk_std_Y","tBodyAccJerk_std_Z","tBodyGyro_std_X","tBodyGyro_std_Y","tBodyGyro_std_Z","tBodyGyroJerk_std_X","tBodyGyroJerk_std_Y","tBodyGyroJerk_std_Z","tBodyAccMag_std","tGravityAccMag_std","tBodyAccJerkMag_std","tBodyGyroMag_std","tBodyGyroJerkMag_std","fBodyAcc_std_X","fBodyAcc_std_Y","fBodyAcc_std_Z","fBodyAccJerk_std_X","fBodyAccJerk_std_Y","fBodyAccJerk_std_Z","fBodyGyro_std_X","fBodyGyro_std_Y","fBodyGyro_std_Z","fBodyAccMag_std","fBodyBodyAccJerkMag_std","fBodyBodyGyroMag_std","fBodyBodyGyroJerkMag_std"
"LAYING",1,-0.1934306641875,-0.263958123125,0.118011933925,0.00413366278695652,0.0311670507894737,0.0496353710833333,-0.458043606296296,-0.770360497896552,-0.821349753571429,-0.718473698481481,-0.6939630012,-0.643850309130435,0.154744134588235,0.0734572497777778,0.1387374108,-0.0474984815882353,0.00578495670588235,-0.725074544444444,-0.717587288316,0.127083107485714,0.0440379036111111,-0.0146470589363636,0.0171952750466667,-0.5840703658,-0.542011361037037,-0.719585519454545,-0.415688458348,-0.308400860043478,-0.329782737791667,-0.69293741844,-0.451532708346154,-0.572814726094444,-0.781470379558621,-0.853953091071429,-0.84259947,-0.725915676596552,-0.677163995857143,-0.683380756666667,-0.830064946071429,-0.872059788928571,-0.879416498965517,-0.834764197931035,-0.837700322068965,-0.712839972730769,-0.552132014259259,-0.4977200868,-0.0822346180692308,-0.167917171905263,-0.563715201264706,-0.0446973078421053,0.195551722604167,-0.0627475801857143,-0.89271804,-0.888207476392857,-0.735639058003704,-0.389870921,-0.1985569755,0.338358852794118,0.0381544086863636,-0.0697260985868421,0.0945662804166667,0.0150303581181818,0.102174492668421,-0.682742698965517,-0.63603048375,0.256888271578947,0.063416870085,-0.0313032445789474,-0.10543388442381,-0.440618147541667,-0.426872045958333,-0.506336840538462,-0.871577861428571,-0.833712784827586,-0.870473613928571,-0.806475896071429,-0.873845843928571,-0.807175532857143,-0.559873397916667
"LAYING",2,-0.230755630909091,-0.316562268333333,0.0852614651489362,0.10423001505,0.165328693714286,-0.0329802922916667,-0.573476562909091,-0.763791115212121,-0.853360401142857,-0.782242098285714,-0.753234503076923,-0.227168217466667,-0.0593380719291667,-0.00721966589565217,-0.0203303588269231,0.0499478037503571,-0.0337315747857143,-0.603378382758621,-0.581627133774194,0.0470085214111111,-0.0225465426521739,-0.077960885047619,-0.102167882227273,-0.549301941002033,-0.488429240502414,-0.45241982420303,-0.402003494892857,-0.5051231428,-0.510274257058824,-0.661059405733333,-0.444280733213333,-0.464651160142857,-0.882223952285714,-0.923731356857143,-0.914964115428571,-0.626675707470588,-0.7431138490625,-0.603638193333333,-0.929638297142857,-0.905624206857143,-0.918419295428571,-0.890406075714286,-0.827434867114286,-0.579318579566667,-0.537686709965517,-0.511206921417241,-0.1253407082375,-0.153061757,-0.636669328043478,0.0534890905588235,0.20922889473913,-0.0294331497357143,-0.8599809464,-0.745791598371429,-0.808796782258065,-0.291523850952381,0.242152014,0.125796204777778,-0.165837359052,-0.0176339268,-0.0429998165666667,-0.0987511881904762,-0.0640358145,-0.534322614242857,-0.6392704053,0.1605890472,-0.169328645384615,-0.262662800570833,-0.300527856521739,-0.672118737857143,-0.562120229181818,-0.76582752109375,-0.927393730285714,-0.867221016857143,-0.926465416,-0.901941757971429,-0.933685220285714,-0.819231064971429,-0.458956172172414
"LAYING",3,-0.19532144003,-0.270326592105263,0.0784983122413793,-0.0111439472344828,-0.0488396012464286,-0.00241618549285714,-0.817967789444444,-0.924906312857143,-0.793413327222222,-0.535025545290323,-0.4309177419,-0.262579941414286,-0.00329782668333333,0.017726627245,-0.00372420322580645,0.0447281921904762,-0.092513367424,-0.40015707516129,-0.447332345241379,0.2168136794,-0.193438441521739,-0.122399153038462,-0.123282292436,-0.10268330375,-0.144900936357143,-0.159790790137931,-0.2581342585,-0.301861980855172,-0.36590825225,-0.397323500064516,-0.454525703272727,-0.338680211272727,-0.744466444285714,-0.769610038083333,-0.772436164722222,-0.357714889848485,-0.45071811978125,-0.401319705322581,-0.755564066944444,-0.764014664444444,-0.753868502527778,-0.759554781080556,-0.630815998416667,-0.543002744914286,-0.5514999522,-0.624523223666667,-0.167434930534694,-0.119766456436538,-0.288113653877358,0.00600845186107143,0.0157685276391304,0.0722896846607143,-0.814638955028571,-0.732213037235294,-0.59402364121875,-0.162190132791667,0.0234943642612,0.0955127611428571,-0.145079545111111,0.0391441503925926,-0.118615176596552,-0.0164178114516129,-0.02233631596,-0.340584979236667,-0.430435066222222,0.13367997756,-0.264510361616897,-0.370299385962963,-0.346367991208333,-0.459514646764706,-0.534471836551724,-0.394924242114286,-0.774425904857143,-0.770470478916667,-0.761239778888889,-0.82077576,-0.780068750833333,-0.596949694329412,-0.57157699975
"LAYING",4,-0.286021703636364,-0.209284658685714,0.125141381673469,0.00389017076129032,-0.00654117691333333,0.0414623564516129,-0.589001592457143,-0.628619991272727,-0.653679210142857,-0.578479435115385,-0.0864162696296296,0.14402734085,0.111168494045455,0.0235626706583333,0.0326287549269231,0.0594708160965517,-0.157167653538462,-0.413475588230769,-0.510196613279355,-0.00123561555,-0.2322152792,-0.159968325970968,-0.307628796333333,-0.307946358768966,-0.311206305642857,-0.345320722933333,-0.526163482676471,-0.6579734334375,-0.6924151787,-0.180453107766667,-0.36615538990625,-0.36878741652381,-0.775168501,-0.795224647342857,-0.770437794242424,-0.525595379090909,-0.512594729935484,-0.462939457366667,-0.792086895588235,-0.816202479444444,-0.850826997297297,-0.698841543611111,-0.700593303243243,-0.4891393991375,-0.417598138131034,-0.607513153111111,-0.0607120302755556,-0.147443144857692,-0.634421522738095,0.0479807504333333,-0.0129575581176471,-0.0453266893103448,-0.661541695428571,-0.613434508972222,-0.599183240068966,0.247100261307692,0.310248671682353,0.312919040678571,0.0587823587391304,-0.0333373732857143,-0.09178008928,-0.156629622574074,-0.1669984954,-0.248176962310345,-0.533086826875,0.0166587694607143,-0.338525457414815,-0.343846197607143,-0.472694843176667,-0.718987082971429,-0.76077855653125,-0.63200626169375,-0.747082537628571,-0.784803612428571,-0.809791174969697,-0.771785736285714,-0.856530452,-0.754278206,-0.413222122054839
"LAYING",5,-0.253774446265,-0.261053608153846,0.135366163061224,-0.0162876892222222,0.12729111,0.11559461055,-0.573804815357143,-0.686514030344828,-0.733983370666667,-0.69021966375,-0.493438571034483,-0.64154507895,0.0496469419411765,0.0726311896363636,-0.0688021072631579,-0.18069836663913,-0.0483883000536,-0.576138403,-0.319964694814815,-0.0280005864705882,-0.105577947084,-0.0620269018294118,-0.0148559133478261,-0.473434746633333,-0.612502542,-0.6261854376,-0.4963060457,-0.645148493346154,-0.449752435765517,-0.614645608933333,-0.655715141034483,-0.618936336115385,-0.888532243125,-0.89507984625,-0.88316440840625,-0.718292455290323,-0.752861096014286,-0.609299312600938,-0.9048799221875,-0.944300055625,-0.8790071084375,-0.797391104666667,-0.815909263225806,-0.61892235662069,-0.654471219034483,-0.6286555372,-0.133430199583143,-0.0615681692933333,-0.553041780842105,0.0718624521631579,0.0400475408809091,0.00412944761904762,-0.794868957666667,-0.719355922,-0.687585209615385,-0.396546522068966,-0.557104518633333,-0.166605802730769,-0.126146354333333,-0.24509492555,-0.0838707672962963,-0.0834857885294118,-0.175822930454545,-0.699305398482759,-0.5148182612,0.0898625743863636,-0.1438799536875,-0.0422895928148148,-0.252369758241818,-0.528557279862069,-0.538087598576923,-0.377666230428571,-0.9045450209375,-0.92504042375,-0.92598035625,-0.8727805921875,-0.8384457846875,-0.7256232665625,-0.578364891333333
"LAYING",6,-0.269142142117647,-0.187406516058824,0.182512580212766,0.00594644895652174,0.0523764054347826,-0.0334149589434783,-0.681931881333333,-0.88952802175,-0.8554876134375,-0.574101299581,-0.617637390903226,-0.600969244,0.0976147556777778,0.0649837042857143,0.0720751611578947,-0.118687320608696,0.0117901763333333,-0.62673999069697,-0.567091528275862,0.13861842495,0.0320762600952381,0.0515633512090476,0.0250166938904762,-0.53212723517,-0.460244237813448,-0.350188763025,-0.193721833037037,-0.340408912217391,-0.20118483952,-0.662275589777778,-0.464343485931034,-0.459757930791667,-0.867400311818182,-0.880289417575758,-0.85824697,-0.707278318484848,-0.77721141746875,-0.71973145315625,-0.847470933636364,-0.873149975151515,-0.871269723333333,-0.69512768969697,-0.740147228787879,-0.6053408040625,-0.546328382259259,-0.40002160468,-0.0793581952897959,-0.205950598008511,-0.378968048377778,0.1552223445,0.110206368766667,-0.0905319974117647,-0.873767555454545,-0.931226767878788,-0.839848799333333,-0.3043449382,-0.115066307941176,0.237933451714286,0.0664412325909091,-0.0121182801363636,-0.0164744610909091,0.024313439125,0.0831099269583333,-0.63339942025,-0.625368796333333,0.165253601894737,0.0372135674652174,-0.0009773482756,-0.0699671659043478,-0.24924854964,-0.273972040423077,-0.352816074967742,-0.899792008181818,-0.914287681515151,-0.872992107272727,-0.816882196969697,-0.911657746060606,-0.779251489393939,-0.362427220931034
"LAYING",7,-0.45924643938,-0.619928009210526,0.0181022949216327,0.0177858095925926,-0.10673871767931,-0.0859173722538462,-0.528840316181818,-0.341518533628571,-0.615555914827586,-0.390073880324,-0.432805120045455,-0.2937758148,-0.0356746948421053,0.100951904882353,-0.0181821157708333,-0.245844998086957,-0.0606470481428571,-0.301592889217391,-0.416096492269231,-0.03332833665,-0.1641023438,-0.148233850681818,-0.21057462165,-0.186962316977778,-0.183156807666667,-0.283457081327273,-0.369225035037037,-0.533214830416667,-0.48520268665,-0.34368660858087,-0.282215358192308,-0.450351940022727,-0.556657612511111,-0.696697972819231,-0.606039308,-0.56999532596,-0.519909774964286,-0.544450889315385,-0.662971760083333,-0.722364726464286,-0.730579254571429,-0.646905500418519,-0.604581663275862,-0.608655838034483,-0.696466035,-0.505198215992593,-0.225226896971429,-0.112367644924444,-0.341546884702703,-0.0496620566428571,-0.0832240095,-0.0190109795652174,-0.580937686491667,-0.422777151419231,-0.578931043948387,-0.250570142055556,0.0115391802,-0.0594616724444444,-0.11037692915,0.04369981708125,-0.0115040986578947,-0.1677245459375,-0.120283071369565,-0.169934017988,-0.402490055747826,-0.0597439357619048,-0.0900540538318125,0.0140557872380952,-0.1589315284375,-0.444329930083333,-0.42995648248,-0.399296759616667,-0.713861599230769,-0.636724076333333,-0.736220884642857,-0.598697398214286,-0.773333966035714,-0.574408774692308,-0.636581091714286
"LAYING",8,-0.454246871615385,-0.17673936455,0.11446748996,0.131322959833333,0.0450453753814815,-0.201823763586207,-0.760620606,-0.822094736857143,-0.863128628235294,-0.612947369894118,-0.648679667419355,-0.506261000678571,0.00982854452380952,0.0281813153074074,-0.00290917823809524,0.0159118910952381,-0.134877227555172,-0.564264434382353,-0.667980107460606,0.171565199166667,-0.02881049624,-0.196485609358333,-0.177369243934783,-0.463302567476923,-0.344571596,-0.380299231866667,-0.441276620758621,-0.506096091119355,-0.504304052445294,-0.483472603166667,-0.417052374940625,-0.535149907782759,-0.855504070666667,-0.867645365,-0.834657448888889,-0.63633585036875,-0.52716515065,-0.562531118970588,-0.890277043611111,-0.8925335625,-0.869725678888889,-0.818379192,-0.745153333,-0.594160333,-0.485957605466667,-0.734711449090909,-0.0879184365675676,-0.09078156575,-0.5537052232,-0.0889894436521739,0.0775060199653846,-0.000570464954838706,-0.7740762859375,-0.654538678857143,-0.60804214565625,-0.173475151153846,0.189042513052632,0.369590271092308,0.00389152976666667,-0.0468906068333333,-0.0455962998290323,0.0267211984724138,-0.19731649148,-0.594979458928571,-0.619198339676471,0.0537207244309091,-0.180226239017857,-0.360674508826923,-0.349186869199615,-0.605028518518519,-0.43803762190625,-0.61043366392129,-0.898578505888889,-0.884426621,-0.905007504166667,-0.903066382941176,-0.916539676111111,-0.7224578219375,-0.414887200822581
"LAYING",9,-0.209701929375,-0.150394092904762,0.0892059855853659,-0.0435008823,0.0447177422352941,0.0784746877142857,-0.546298809565217,-0.785577364090909,-0.718194693333333,-0.558333846173913,-0.510489521108,-0.490912013666667,-0.0449179134588235,0.0224303239444444,0.100434118371429,0.140108102966667,0.113245723705882,-0.452612124545455,-0.11487738,0.1168791441875,-0.0139189384736842,0.013352993464375,0.0306022525294118,-0.385628661052632,-0.20399904696,-0.431384775,-0.606181500904545,-0.535349604842105,-0.246637751190476,-0.548087485,-0.568625117272727,-0.443241861086957,-0.7839927188,-0.7735942804,-0.8254685836,-0.595042066736,-0.65608423944,-0.51498724712,-0.7910304196,-0.9123935284,-0.948539478,-0.642241304583333,-0.6143175188,-0.678973554782609,-0.4969919,-0.129910593,-0.0736081572428571,-0.194475931676923,-0.247302417972222,0.1047650941875,0.02736192702,-0.04895507446,-0.83992792284,-0.9014466008,-0.886851708652174,-0.330905776285714,-0.299242938461538,-0.050516057368421,0.137176281875,0.0830746584666667,0.00634560088888889,-0.0435744709473684,0.0698845889214286,-0.485525940333333,-0.45178599,0.127634505538462,-0.0330541003684211,-0.106059820470588,-0.06123355015625,-0.3163700372375,-0.164957984227273,-0.3551016285,-0.830114978,-0.839929602,-0.8243461384,-0.830286372,-0.9002736876,-0.629354995,-0.667587557777778
"LAYING",10,0.0288933276,-0.260905132727273,0.151037444345455,-0.0237149530666667,0.0879070147586207,0.0411346098787879,-0.882168717707317,-0.844332900802564,-0.697836839619048,-0.745686555225,-0.655377926625,-0.343353347117647,-0.00237199386666667,-0.0126366188965517,0.128639511807692,-0.0769538557088235,-0.160690343074074,-0.566093849666667,-0.610735758888889,-0.00948579272068965,-0.293206955625,-0.410091971575,-0.6464273592,-0.55364717652069,-0.276536606641026,-0.476944315,-0.708337353974359,-0.710052465631579,-0.590514421356098,-0.396405451985366,-0.433334798562857,-0.395611436088889,-0.909297444047619,-0.864821336363636,-0.903236461534884,-0.589396829205128,-0.544340970714286,-0.538128971146342,-0.868378041395349,-0.916182054883721,-0.930750201590909,-0.736540310930233,-0.693449628785714,-0.583120097785714,-0.671293177648649,-0.820609026547619,-0.0761390558579592,-0.147408747464182,-0.706877173822222,-0.00161982821851852,0.0437069167741935,-0.0252133903179487,-0.790299569837209,-0.767059048761905,-0.705804825297297,0.0566955126545455,0.53303163477037,0.583738814756522,0.0195529850909091,-0.151671973909091,-0.239930632969697,-0.095896126772,0.05918004715625,-0.25742667365,-0.491312223690476,0.00109916722121212,-0.470497978351351,-0.556899257948718,-0.659053628666667,-0.661927713463415,-0.697086980975,-0.719354311536585,-0.895011555909091,-0.897967026136364,-0.914074872727273,-0.896518268139535,-0.902698988863636,-0.620189129002326,-0.617997599954762
